Ticker, Code, Name
BERK,GOOG/NASDAQ_BERK,Berkshire Bancorp Inc 
BEST,GOOG/NASDAQ_BEST,Shiner International 
BFED,GOOG/NASDAQ_BFED,Beacon Federal Bancorp 
BFIN,GOOG/NASDAQ_BFIN,BankFinancial Corporation 
BFLY,GOOG/NASDAQ_BFLY,Bluefly
BGCP,GOOG/NASDAQ_BGCP,BGC Partners
BGFV,GOOG/NASDAQ_BGFV,Big 5 Sporting Goods Corporation 
BGMD,GOOG/NASDAQ_BGMD,BG Medicine
BGSC,GOOG/NASDAQ_BGSC,BGS Acquisition Corp 
BGSCU,GOOG/NASDAQ_BGSCU,BGS Acquisition Corp 
BHLB,GOOG/NASDAQ_BHLB,Berkshire Hills Bancorp 
BIB,GOOG/NASDAQ_BIB,ProShares Ultra Nasdaq Biotechnology ETF 
BICK,GOOG/NASDAQ_BICK,First Trust BICK Index Fund ETF 
BIDU,GOOG/NASDAQ_BIDU,Baidu.com
BIDZ,GOOG/NASDAQ_BIDZ,Bidz.Com 
BIIB,GOOG/NASDAQ_BIIB,Biogen Idec Inc. 
BIOC,GOOG/NASDAQ_BIOC,BioClinica Inc 
BIOD,GOOG/NASDAQ_BIOD,Biodel Inc 
BIOF,GOOG/NASDAQ_BIOF,BioFuel Energy Corp. 
BIOL,GOOG/NASDAQ_BIOL,BIOLASE Inc 
BIOS,GOOG/NASDAQ_BIOS,BioScrip Inc 
BIRT,GOOG/NASDAQ_BIRT,Actuate Corporation 
BIS,GOOG/NASDAQ_BIS,ProShares UltraShort Nasdaq Biotech 
BJRI,GOOG/NASDAQ_BJRI,BJ's Restaurants
BKCC,GOOG/NASDAQ_BKCC,Blackrock Kelso Capital Corp. 
BKEP,GOOG/NASDAQ_BKEP,Blueknight Energy 
BKEPP,GOOG/NASDAQ_BKEPP,Blueknight Energy Partners L.P.
BKMU,GOOG/NASDAQ_BKMU,Bank Mutual Corporation 
BKOR,GOOG/NASDAQ_BKOR,Oak Ridge Financial Services
BKSC,GOOG/NASDAQ_BKSC,Bank Of South Carolina 
BKYF,GOOG/NASDAQ_BKYF,The Bank of Kentucky Financial Corp 
BLDP,GOOG/NASDAQ_BLDP,Ballard Power Systems Inc. 
BLDR,GOOG/NASDAQ_BLDR,Builders FirstSource
BLIN,GOOG/NASDAQ_BLIN,Bridgeline Digital Inc 
BLKB,GOOG/NASDAQ_BLKB,Blackbaud
BLMN,GOOG/NASDAQ_BLMN,Bloomin' Brands Inc 
BLMT,GOOG/NASDAQ_BLMT,BSB Bancorp Inc 
BLRX,GOOG/NASDAQ_BLRX,Bioline RX Ltd 
BMC,GOOG/NASDAQ_BMC,BMC Software
BMRC,GOOG/NASDAQ_BMRC,Bank of Marin Bancorp 
BMRN,GOOG/NASDAQ_BMRN,BioMarin Pharmaceutical Inc. 
BMTC,GOOG/NASDAQ_BMTC,Bryn Mawr Bank Corp. 
BMTI,GOOG/NASDAQ_BMTI,Biomimetic Therapeutics 
BNCL,GOOG/NASDAQ_BNCL,Beneficial Mutual Bancorp Inc 
BNCN,GOOG/NASDAQ_BNCN,BNC Bancorp 
BNHN,GOOG/NASDAQ_BNHN,Benihana Inc. 
BNSO,GOOG/NASDAQ_BNSO,Bonso Electronics International Inc. 
BOBE,GOOG/NASDAQ_BOBE,Bob Evans Farms Inc 
BOCH,GOOG/NASDAQ_BOCH,Bank of Commerce Holdings 
BODY,GOOG/NASDAQ_BODY,Body Central Corp 
BOFI,GOOG/NASDAQ_BOFI,BofI Holding
BOKF,GOOG/NASDAQ_BOKF,BOK Financial Corporation 
BOLT,GOOG/NASDAQ_BOLT,Bolt Technology Corp. 
BONA,GOOG/NASDAQ_BONA,Bona Film Group Ltd 
BONT,GOOG/NASDAQ_BONT,The Bon-Ton Stores
BOOM,GOOG/NASDAQ_BOOM,Dynamic Materials Corporation 
BOOT,GOOG/NASDAQ_BOOT,Lacrosse Footwear 
BOSC,GOOG/NASDAQ_BOSC,BOS Better OnLine Sol 
BOTA,GOOG/NASDAQ_BOTA,Biota Pharmaceuticals Inc 
BOTJ,GOOG/NASDAQ_BOTJ,Bank of the James Financial Group
BOVA,GOOG/NASDAQ_BOVA,Bank of Virginia 
BPAX,GOOG/NASDAQ_BPAX,Biosante Pharmaceuticals Inc 
BPFH,GOOG/NASDAQ_BPFH,Boston Private Financial Hldg Inc 
BPHX,GOOG/NASDAQ_BPHX,BluePhoenix Solutions
BPOP,GOOG/NASDAQ_BPOP,Popular Inc 
BPOPM,GOOG/NASDAQ_BPOPM,Popular
BPOPN,GOOG/NASDAQ_BPOPN,Popular
BRCD,GOOG/NASDAQ_BRCD,Brocade Communications Systems
BRCM,GOOG/NASDAQ_BRCM,Broadcom Corporation 
BREW,GOOG/NASDAQ_BREW,Craft Brew Alliance Inc 
BRID,GOOG/NASDAQ_BRID,Bridgford Foods Corporation 
BRKL,GOOG/NASDAQ_BRKL,Brookline Bancorp
BRKR,GOOG/NASDAQ_BRKR,Bruker Corporation 
BRKS,GOOG/NASDAQ_BRKS,Brooks Automation
BRLI,GOOG/NASDAQ_BRLI,Bio-Reference Laboratories Inc 
BSDM,GOOG/NASDAQ_BSDM,BSD Medical Corporation 
BSET,GOOG/NASDAQ_BSET,Bassett Furniture Industries Inc. 
BSFT,GOOG/NASDAQ_BSFT,BroadSoft Inc 
BSPM,GOOG/NASDAQ_BSPM,Biostar Pharmaceuticals Inc 
BSQR,GOOG/NASDAQ_BSQR,BSQUARE Corporation 
BSRR,GOOG/NASDAQ_BSRR,Sierra Bancorp 
BSTC,GOOG/NASDAQ_BSTC,BioSpecifics Technologies Corp. 
BTFG,GOOG/NASDAQ_BTFG,Banctrust Financial Group 
BTUI,GOOG/NASDAQ_BTUI,BTU International
